iter	MultiClass
0	1.033688616
1	0.9798420461
2	0.9391798233
3	0.9027532568
4	0.8613528491
5	0.8329264879
6	0.8051542161
7	0.76174335
8	0.7328462968
9	0.700052223
10	0.6790427396
11	0.6528063061
12	0.6333749951
13	0.609828938
14	0.5887908189
15	0.5725135496
16	0.5546468198
17	0.5367517571
18	0.5208249256
19	0.5109600711
20	0.4982587527
21	0.4848770409
22	0.4729471739
23	0.4609952011
24	0.4506357121
25	0.4418819694
26	0.4283585439
27	0.4159826497
28	0.4047015764
29	0.3956716917
30	0.3866392695
31	0.3792545911
32	0.3716243212
33	0.3597341894
34	0.3493459406
35	0.3424252823
36	0.3349262599
37	0.3265125052
38	0.3185764591
39	0.313619045
40	0.3069635485
41	0.299400861
42	0.2920802075
43	0.2843330794
44	0.2776033629
45	0.2707354982
46	0.2649173651
47	0.260486148
48	0.256322454
49	0.2514069006
50	0.2465600813
51	0.2407033226
52	0.2384430381
53	0.2335265849
54	0.2284523882
55	0.2248227096
56	0.2219243971
57	0.217452893
58	0.2145966079
59	0.2112252364
60	0.2071622893
61	0.203435027
62	0.1993747624
63	0.1957941297
64	0.1913025019
65	0.1877047807
66	0.1843261059
67	0.1805465615
68	0.1767065493
69	0.1747211669
70	0.1713829539
71	0.1682474215
72	0.1650554229
73	0.1626907373
74	0.1596218831
75	0.1570268595
76	0.1536322366
77	0.1517115654
78	0.1492076557
79	0.1466340504
80	0.1440659658
81	0.1415243501
82	0.1391577711
83	0.1369730818
84	0.1343501469
85	0.1322407767
86	0.1298414313
87	0.1278680931
88	0.1258623517
89	0.1240104305
90	0.1217307172
91	0.1188109326
92	0.1168662919
93	0.1151912587
94	0.1136900209
95	0.1120697505
96	0.1107728793
97	0.1089427916
98	0.1070654009
99	0.1061682491
100	0.1044435457
101	0.1041926681
102	0.1021574681
103	0.1003506185
104	0.09877438821
105	0.09691871243
106	0.09533547243
107	0.09339423241
108	0.09180474917
109	0.09049847017
110	0.08885128933
111	0.08725215532
112	0.08598955766
113	0.08478667461
114	0.08316738718
115	0.08286199917
116	0.0812161936
117	0.0798559788
118	0.07815604022
119	0.07694789404
120	0.07675149209
121	0.07614039117
122	0.07569762917
123	0.07476261316
124	0.07352981876
125	0.0725557551
126	0.07143430438
127	0.07123298066
128	0.07009134266
129	0.06906375836
130	0.06843519472
131	0.06730928277
132	0.06627596505
133	0.06562581214
134	0.06464842237
135	0.06384063408
136	0.06305824898
137	0.0622592899
138	0.0615018751
139	0.06065058672
140	0.06011841532
141	0.05989588238
142	0.05895411739
143	0.05831453707
144	0.05717406535
145	0.05683527474
146	0.05617115914
147	0.0555674465
148	0.05507894049
149	0.05422503947
150	0.05372081439
151	0.05322911696
152	0.05261446651
153	0.0520238352
154	0.05121148667
155	0.05079151467
156	0.05017099776
157	0.04963573448
158	0.04929380107
159	0.04857560658
