feature,pearson_damage,spearman_damage,pearson_log_damage,pearson_log_feat_log_damage,abs_pearson_log_damage
raw_moment_2.0,0.7093909780626001,0.778021978021978,0.7182402223344773,0.7553046963300707,0.7182402223344773
p1,-0.6805305498620949,-0.7328754578754578,-0.7179800112183038,,0.7179800112183038
basquin_moment_2.5,0.7196375824566225,0.8005036630036629,0.7143083736856206,0.762171207646908,0.7143083736856206
n_valleys,-0.6463087015951219,-0.685485347985348,-0.7047862249733083,-0.7088450381332064,0.7047862249733083
n_peaks,-0.6463075755466873,-0.6851497842686095,-0.7047841879275357,-0.7088428430693756,0.7047841879275357
peak_max,0.5828309304396806,0.7652014652014651,0.6995917963698539,0.7317366541127269,0.6995917963698539
max,0.5828309304396806,0.7652014652014651,0.6995917963698539,0.7317366541127269,0.6995917963698539
raw_moment_2.5,0.703352957117404,0.7752289377289378,0.686153867159097,0.7575104891087859,0.686153867159097
rf_rms_range,0.6355992354289648,0.6646520146520146,0.6797241572548774,0.654424029344107,0.6797241572548774
basquin_moment_3.0,0.7026071325863221,0.7975274725274725,0.6727764580119001,0.7605977371741259,0.6727764580119001
rf_damage_proxy_m2.0,0.6305599822838498,0.651098901098901,0.6681744258955555,0.6329733088523493,0.6681744258955555
p5,-0.6256018544789501,-0.678525641025641,-0.6587714258647441,,0.6587714258647441
p99,0.5410219403052753,0.6422161172161172,0.6518406847600882,0.6293859402424588,0.6518406847600882
raw_moment_3.0,0.6897735643128609,0.7771520146520146,0.6494126426000546,0.7595586174600114,0.6494126426000546
basquin_moment_3.3,0.6911193074488612,0.7973443223443222,0.6486557629098635,0.7602921429903431,0.6486557629098635
basquin_moment_3.5,0.6832599198390223,0.796657509157509,0.633227129342858,0.7603082937618599,0.633227129342858
raw_moment_3.3,0.6792533238265285,0.7799450549450548,0.6266903853414008,0.7607958167359208,0.6266903853414008
raw_moment_3.5,0.6716395880795578,0.7789377289377288,0.6116731749327446,0.7616355261803114,0.6116731749327446
basquin_moment_4.0,0.663779313718189,0.7968406593406593,0.5975826883813622,0.7610208433053522,0.5975826883813622
p10,-0.5542802185864035,-0.6177197802197801,-0.5864704813779477,,0.5864704813779477
p95,0.4707073453312898,0.5907967032967032,0.5819073068912719,0.5535732088908365,0.5819073068912719
raw_moment_4.0,0.6516457210773782,0.7782509157509157,0.5756402435228363,0.7638109530235996,0.5756402435228363
psd_energy_10_30Hz,0.5557868631187866,0.4873626373626373,0.5704656384016268,0.5275651394993235,0.5704656384016268
basquin_moment_4.5,0.645539553327825,0.7959706959706958,0.5665998858136412,0.7626103333898,0.5665998858136412
raw_moment_4.5,0.6317501750349019,0.7838827838827838,0.5429107185487332,0.7661353148019416,0.5429107185487332
basquin_moment_5.0,0.6292245857590044,0.7975274725274725,0.540286195781882,0.765055604334222,0.540286195781882
p90,0.4298046776731251,0.5017857142857143,0.5249177561231904,,0.5249177561231904
raw_moment_5.0,0.6131346096927341,0.7841117216117215,0.5141617205773047,0.7686717769801616,0.5141617205773047
basquin_moment_6.0,0.6029943709679564,0.8028846153846153,0.49999942805848124,0.7726163553451527,0.49999942805848124
psd_energy_30_60Hz,0.3608536235346376,0.48205128205128206,0.4825535918815117,0.48616569939646215,0.4825535918815117
raw_moment_6.0,0.5816248594561096,0.7841117216117215,0.4685004598222801,0.7747232968087869,0.4685004598222801
zero_crossing_rate,-0.3551651747053618,-0.5842490842490842,-0.4581357645294142,-0.5665398331299706,0.4581357645294142
mean_crossing_rate,-0.36107328502837566,-0.4639194139194139,-0.4442652908853467,-0.4678698285779078,0.4442652908853467
psd_mean_freq,-0.41542542023417384,-0.5543498168498169,-0.43619052882361703,-0.5559020542081228,0.43619052882361703
p25,-0.4507679248732753,-0.39166666666666666,-0.423121815148807,,0.423121815148807
rf_mean_range,0.3330203906197583,0.35206043956043953,0.3554719112126881,0.35698868706614517,0.3554719112126881
kurtosis,-0.25134691120625496,-0.4020604395604395,-0.34546371024108113,,0.34546371024108113
margin_factor,-0.21144965279444625,-0.2953296703296703,-0.2936071276051791,-0.27544731634848496,0.2936071276051791
impulse_factor,-0.19393722506433392,-0.26776556776556776,-0.2826752546388413,-0.2649927259704381,0.2826752546388413
crest_factor,-0.17555828140215055,-0.27184065934065926,-0.2711182369594871,-0.2558568038621387,0.2711182369594871
valley_mean,-0.21703039865334278,-0.1334249084249084,-0.17623452824716632,,0.17623452824716632
mean,-0.21923249159906888,-0.1318223443223443,-0.17424010968607279,,0.17424010968607279
peak_mean,-0.2064773299760964,-0.12188644688644688,-0.1649548325755373,,0.1649548325755373
p50,-0.18298225377403382,-0.118522418991499,-0.14970553635743025,,0.14970553635743025
psd_energy_100_128Hz,-0.11521831802528248,-0.0835164835164835,-0.09689166582238211,-0.05281396030561058,0.09689166582238211
form_factor,-0.1092215834617774,-0.07458791208791207,-0.09594322377922013,-0.0810818601432092,0.09594322377922013
p75,0.008733561040950778,0.08786630036630036,0.07703392094506475,,0.07703392094506475
skewness,0.020060737986847002,-0.07902930402930403,0.057885612442247866,,0.057885612442247866
psd_energy_60_100Hz,0.03298221272666402,-0.0168040293040293,0.014640436990809462,0.035987986022368454,0.014640436990809462
psd_peak_freq,,,,,
